"range","field","moment","reciprocal","norm","magnetization"
2.5,-1.3001,-4.76615,-0.769171602184447,-0.318838010502726,-117.487330072703
2.5,-1.4022,-5.07025,-0.713165026387106,-0.339181188748035,-124.983505617978
2.5,-1.4998,-5.35585,-0.666755567408988,-0.35828678462722,-132.023649438202
2.5,-1.5996,-5.64085,-0.625156289072268,-0.377352242699937,-139.049003040317
2.5,-1.7005,-5.90745,-0.588062334607468,-0.395186808040941,-145.620789953734
2.5,-1.8,-6.16405,-0.555555555555556,-0.412352409940797,-151.946073231989
2.5,-1.9001,-6.40775,-0.526288090100521,-0.428655049001572,-157.953366820886
2.5,-2.0008,-6.65065,-0.499800079968013,-0.444904170987055,-163.940940118969
2.5,-2.1001,-6.88655,-0.47616780153326,-0.460685018563735,-169.755960872439
2.5,-2.2003,-7.09645,-0.454483479525519,-0.474726561193431,-174.930072174488
2.5,-2.3,-7.33285,-0.434782608695652,-0.490540856942168,-180.757418109716
2.5,-2.4025,-7.53835,-0.416233090530697,-0.504288055657758,-185.823067812293
2.5,-2.5003,-7.72125,-0.399952005759309,-0.516523396996354,-190.331619299405
2.5,-2.3997,-7.52525,-0.416718756511231,-0.503411713549855,-185.500148050231
2.5,-2.3007,-7.34065,-0.434650323814491,-0.491062648426264,-180.949690945142
2.5,-2.1992,-7.10335,-0.454710803928701,-0.475188145967823,-175.10015968275
2.5,-2.0999,-6.88545,-0.476213153007286,-0.460611432585209,-169.728845472571
2.5,-2.0006,-6.66925,-0.499850044986504,-0.446148442987591,-164.39943688037
2.5,-1.8996,-6.41065,-0.526426616129712,-0.428849048399505,-158.024852875083
2.5,-1.8005,-6.16905,-0.555401277422938,-0.412686891661371,-152.06932504957
2.5,-1.7006,-5.91365,-0.588027754910032,-0.395601565374452,-145.773622207535
2.5,-1.6,-5.63105,-0.625,-0.376696658527611,-138.807429477859
2.5,-1.5001,-5.35265,-0.666622225184988,-0.358072716326053,-131.94476827495
2.5,-1.3995,-5.06145,-0.714540907466953,-0.338592500919825,-124.766582419035
2.5,-1.2997,-4.75395,-0.769408324998076,-0.318021875104526,-117.186595637806
2.5,-1.2006,-4.44805,-0.832916874895885,-0.29755828343981,-109.646049438202
2.5,-1.0997,-4.12735,-0.909338910611985,-0.276104625882196,-101.740677858559
2.5,-0.99957,-3.79005,-1.00043018497954,-0.253540489012275,-93.4261102445472
2.5,-0.89959,-3.45945,-1.11161751464556,-0.231424557647925,-85.2767000660939
2.5,-0.80049,-3.10635,-1.24923484365826,-0.207803458540991,-76.5726567085261
2.5,-0.70005,-2.76015,-1.42846939504321,-0.184643944208449,-68.0387008592201
2.5,-0.60003,-2.36145,-1.66658333749979,-0.157972371809881,-58.2106009253139
2.5,-0.50043,-1.98595,-1.99828147792898,-0.132852794594775,-48.9543894249835
2.5,-0.40064,-1.60745,-2.49600638977636,-0.107532528347326,-39.6242268341044
2.5,-0.30025,-1.22275,-3.33055786844296,-0.0817975047663645,-30.141231989425
2.5,-0.19992,-0.82251,-5.00200080032013,-0.0550229119978592,-20.2751704957039
2.5,-0.099947,-0.4194,-10.0053028104896,-0.0280563267217446,-10.3383624586913
2.5,0.00050227,-0.0172599999999997,1990.96103689251,-0.00115463089942136,-0.425465274289484
2.5,0.099953,0.37514,10.0047022100387,0.0250954945312238,9.24733736946465
2.5,0.20018,0.78991,4.99550404635828,0.0528420911797172,19.471568645076
2.5,0.29956,1.18015,3.33822940312458,0.0789477205070743,29.0911265036352
2.5,0.40001,1.57035,2.49993750156246,0.105050673980667,38.7096983476537
